hjd,camera,mag,mag_err,flux,flux_err
2456638.74302,ba,11.133,0.02,135.109,2.486
2457992.81723,bb,11.133,0.02,133.999,2.466
2458448.77779,ba,11.169,0.02,130.688,2.405
2456970.80173,bb,11.087,0.02,139.782,2.572
2456516.95,bb,10.859,0.02,172.436,3.173
2456487.95996,ba,10.937,0.02,161.872,2.978
2457020.70403,ba,10.905,0.02,166.665,3.067
2456575.76097,ba,11.019,0.02,150.083,2.762
2458033.92322,bb,10.458,0.02,249.445,4.59
2457011.72852,ba,10.888,0.02,169.297,3.115
2457998.78171,ba,10.987,0.02,154.601,2.845
2457522.07992,bb,11.101,0.02,137.968,2.539
2458430.83076,bb,11.071,0.02,141.823,2.61
2457668.92276,bb,10.783,0.02,184.946,3.403
2457652.97142,bb,10.965,0.02,156.492,2.879
2457939.04763,ba,11.105,0.02,138.643,2.551
2456221.79747,bb,10.938,0.02,160.431,2.952
2457577.02461,ba,11.109,0.02,138.102,2.541
2458448.77742,bb,11.137,0.02,133.537,2.457
2457505.11582,bb,11.133,0.02,133.952,2.465
2456967.85765,ba,11.091,0.02,140.402,2.583
2457709.73947,bb,10.837,0.02,175.956,3.238
2457692.85681,ba,10.948,0.02,160.284,2.949
2457626.88933,bb,11.112,0.02,136.557,2.513
2456889.07119,ba,11.045,0.02,146.513,2.696
2457191.07496,bb,11.069,0.02,142.088,2.614
2457980.03402,bb,10.704,0.02,198.889,3.66
2457561.0566,ba,10.407,0.02,263.77,4.853
2457966.96438,ba,10.484,0.02,245.584,4.519
2458075.80506,ba,10.78,0.02,186.994,3.441
2458010.89748,ba,11.076,0.02,142.423,2.621
2457179.05224,ba,11.082,0.02,141.601,2.605
2458308.06556,ba,10.983,0.02,155.123,2.854
2456600.80567,ba,10.429,0.02,258.489,4.756
2457601.02066,ba,11.193,0.02,127.83,2.352
2458427.77415,ba,11.095,0.02,139.878,2.574
2456656.7019,ba,10.998,0.02,152.995,2.815
2457361.75336,ba,11.121,0.02,136.584,2.513
2457901.05904,ba,10.976,0.02,156.157,2.873
2456873.89424,bb,10.614,0.02,216.214,3.978
2457941.08638,ba,10.541,0.02,233.104,4.289
2458335.96323,ba,11.057,0.02,144.908,2.666
2458370.91,ba,10.692,0.02,202.825,3.732
2458285.08289,bb,11.036,0.02,146.481,2.695
2456562.8699,bb,11.072,0.02,141.683,2.607
2457273.958,bb,10.998,0.02,151.675,2.791
2457213.04953,bb,11.06,0.02,143.328,2.637
2456898.93404,ba,10.939,0.02,161.511,2.972
2457937.94929,bb,11.126,0.02,134.876,2.482
2457939.94126,ba,11.038,0.02,147.445,2.713
2457229.88758,ba,10.998,0.02,153.061,2.816
2457212.09184,bb,10.972,0.02,155.453,2.86
2456863.98382,ba,11.052,0.02,145.583,2.679
2456491.91159,ba,10.496,0.02,243.004,4.471
2457380.69542,bb,10.614,0.02,216.068,3.976
2457362.73064,ba,11.024,0.02,149.455,2.75
2456920.89608,bb,10.659,0.02,207.391,3.816
2457356.76841,bb,10.607,0.02,217.537,4.003
2456982.77662,bb,10.453,0.02,250.648,4.612
2457941.08669,bb,10.553,0.02,228.647,4.207
2457686.87799,bb,10.969,0.02,155.797,2.867
2456894.93222,ba,11.04,0.02,147.173,2.708
2456969.82372,ba,11.052,0.02,145.568,2.678
2457241.03699,bb,10.511,0.02,237.58,4.371
2456527.8527,bb,10.839,0.02,175.69,3.233
2458423.85516,ba,11.088,0.02,140.871,2.592
2457736.72409,ba,10.415,0.02,261.813,4.817
2458318.91262,ba,10.556,0.02,229.896,4.23
2457000.73773,ba,10.775,0.02,187.941,3.458
2457928.03104,bb,10.75,0.02,190.604,3.507
2457275.99903,bb,11.079,0.02,140.883,2.592
2456478.00763,ba,10.844,0.02,176.246,3.243
2457333.8448,ba,11.101,0.02,139.118,2.56
2457706.78199,bb,11.047,0.02,145.056,2.669
2458306.12131,ba,11.104,0.02,138.795,2.554
2457932.97029,bb,10.623,0.02,214.403,3.945
2457688.87016,ba,10.474,0.02,247.996,4.563
2457561.05695,bb,10.436,0.02,254.644,4.685
2457548.05251,ba,10.522,0.02,237.196,4.364
2456835.02631,bb,10.966,0.02,156.219,2.874
2456831.03085,ba,10.83,0.02,178.571,3.286
2457660.95627,bb,11.073,0.02,141.648,2.606
2457362.73027,bb,11.026,0.02,147.918,2.722
2458010.89739,bb,11.075,0.02,141.38,2.601
2456863.98404,bb,11.079,0.02,140.874,2.592
2457205.95018,bb,10.709,0.02,197.976,3.643
2457271.98775,bb,10.645,0.02,210.019,3.864
2457200.99435,bb,10.505,0.02,239.003,4.398
